1
0,977233465
0,861352951
0,666244348
0,413545458
0,130526192
-0,152582529
-0,405549727
-0,601105304
-0,717611152
-0,741180955
-0,667041172
-0,5
-0,253978393
0,049350955
0,382683432
0,715753637
1,018296349
1,263007494
1,428215277
1,5
1,473555081
1,353656029
1,154191489
0,896802247
0,608761429
0,320303397
0,061662796
-0,139886388
-0,262701941
-0,292893219
-0,225682145
-0,065872169
0,172620713
0,468128967
0,79335334
1,118033989
1,411911441
1,647687562
1,803696681
1,866025404
1,829873629
1,700023519
1,490370537
1,222562452
0,923879533
0,624563432
0,354856239
0,142039522
0,007763219
-0,034074174
0,021313404
0,169130606
0,395469655
0,678671346
0,991444861
1,30353889
1,584702586
1,807646529
1,950713841
2
1,950713841
1,807646529
1,584702586
1,30353889
0,991444861
0,678671346
0,395469655
0,169130606
0,021313404
-0,034074174
0,007763219
0,142039522
0,354856239
0,624563432
0,923879533
1,222562452
1,490370537
1,700023519
1,829873629
1,866025404
1,803696681
1,647687562
1,411911441
1,118033989
0,79335334
0,468128967
0,172620713
-0,065872169
-0,225682145
-0,292893219
-0,262701941
-0,139886388
0,061662796
0,320303397
0,608761429
0,896802247
1,154191489
1,353656029
1,473555081
1,5
1,428215277
1,263007494
1,018296349
0,715753637
0,382683432
0,049350955
-0,253978393
-0,5
-0,667041172
-0,741180955
-0,717611152
-0,601105304
-0,405549727
-0,152582529
0,130526192
0,413545458
0,666244348
0,861352951
0,977233465
1
0,924879568
0,756681038
0,509326157
0,204488531
-0,130526192
-0,465451459
-0,770020778
